Timestamp,Zone,Temperature(C),Humidity(%),Pressure(hPa),Altitude(m),Light(lx),Sound(dB)
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4380.00,48.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4325.00,54.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4272.50,45.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4225.00,60.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4177.50,51.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4133.33,52.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4092.50,57.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4050.83,53.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,4009.17,52.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3970.00,53.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3930.83,69.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3893.33,56.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3855.00,53.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3819.17,57.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3784.17,61.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3750.00,47.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3716.67,46.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3683.33,67.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3655.83,61.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3626.67,69.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3603.33,56.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3578.33,61.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3549.17,62.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3530.00,54.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3502.50,68.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3480.83,63.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3462.50,49.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3448.33,68.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3433.33,64.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,3420.00,61.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,562.50,59.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,563.33,72.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,560.83,46.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,560.00,62.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,558.33,61.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,556.67,57.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,559.17,55.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,562.50,54.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,573.33,62.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,575.00,59.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,560.83,64.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,562.50,54.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,562.50,60.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,564.17,41.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,568.33,55.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,570.00,51.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,572.50,53.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,575.83,51.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,578.33,62.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,592.50,49.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,580.83,52.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,591.67,61.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,628.33,59.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,589.17,56.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,600.00,55.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,579.17,65.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,734.17,52.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,727.50,64.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,733.33,69.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,715.83,61.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,653.33,60.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,568.33,52.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,833.33,62.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,657.50,65.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,575.83,66.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,886.67,58.0
Time Sync Error,ZONE_A,0.00,0.00,0.00,0.00,1010.00,66.0
2026-08-19 14:48:48,ZONE_A,30.38,61.00,1000.81,93.71,620.83,59.0
2026-08-19 14:48:48,ZONE_A,30.40,61.00,1000.83,93.53,592.50,47.0
Time Sync Error,ZONE_A,30.40,60.00,1000.82,93.62,608.33,54.0
2026-08-19 14:48:57,ZONE_A,30.40,59.00,1000.83,93.54,610.83,38.0
2026-08-19 14:48:59,ZONE_A,30.39,58.00,1000.79,93.83,610.00,53.0
2026-08-19 14:49:01,ZONE_A,30.40,57.00,1000.86,93.31,612.50,54.0
2026-08-19 14:49:03,ZONE_A,30.40,57.00,1000.84,93.49,612.50,61.0
2026-08-19 14:49:05,ZONE_A,30.40,57.00,1000.83,93.56,613.33,58.0
2026-08-19 14:49:07,ZONE_A,30.40,57.00,1000.85,93.36,614.17,43.0
2026-08-19 14:49:09,ZONE_A,30.41,57.00,1000.84,93.48,615.00,46.0
