eventID,occurrenceID,datasetName,basisOfRecord,imageFileName,eventDate,eventTime,samplingProtocol,samplingZone,habitat,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,kingdom,phylum,class,order,family,genus,specificEpithet,scientificName,vernacularName,taxonRank,taxonomicStatus,lifeForm,iucnRedListCategory,aiModelIdentifier,aiInferenceLatency_ms,aiClassificationConfidence,excessGreenIndex_ExG,canopyCoverPercentage,temperature_C,relativeHumidity_Pct,barometricPressure_hPa,ambientIlluminance_Lux,soundPressureLevel_dB,recordStatus
UNIBEN-ZONE_A-20260821-0001,urn:uuid:2bab02de-8ece-52f7-b392-b9e350d529cf,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,b5de52217f7f41e1b6fe25bdbdc440d1.jpg,2026-08-21,10:36:49,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,77.2238,100.0,26.5,79.0,1012.8,3800.0,42.0,clean|tier3_baseline
UNIBEN-ZONE_B-20260821-0002,urn:uuid:f753801a-4e55-52c5-826f-c45019f5c079,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,d41c96f673e04349a237a5eaf40b4e9d.jpg,2026-08-21,10:36:29,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_B — Mixed Urban / Shrub Perimeter,Peri-urban shrub perimeter — disturbed mosaic with planted trees,6.394,5.606,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,81.7797,100.0,28.3,73.0,1013.1,22000.0,57.0,clean|tier3_baseline
UNIBEN-ZONE_A-20260819-0003,urn:uuid:26766310-2567-5710-b5f3-54c9daac4b73,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0466.JPG,2026-08-19,15:50:16,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,58.1386,100.0,34.9,68.0,1000.34,29383.33,63.0,clean|tier1_exact
UNIBEN-ZONE_A-20260819-0004,urn:uuid:d92a0529-8b69-5e28-b77c-45e430cc08bf,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0467.JPG,2026-08-19,15:50:24,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,62.9053,100.0,34.88,66.0,1000.23,29835.0,49.0,clean|tier1_exact
UNIBEN-ZONE_A-20260819-0005,urn:uuid:1eb3206d-4f1f-54a6-b1cc-269dc9836f82,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0468.JPG,2026-08-19,15:50:30,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,60.7889,100.0,34.84,65.0,1000.24,29612.5,58.0,clean|tier1_exact
UNIBEN-ZONE_A-20260819-0006,urn:uuid:373da109-cf90-5f6c-ae08-e2004817c165,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0469.JPG,2026-08-19,15:51:01,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,41.3681,89.2,34.92,64.0,1000.28,30887.5,57.0,clean|tier1_exact
UNIBEN-ZONE_A-20260819-0007,urn:uuid:12b2f81e-9826-5635-9ee5-a1f0f462b1e8,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0470.JPG,2026-08-19,15:51:05,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,48.2177,97.8,34.8,65.0,1000.22,30282.5,60.0,clean|tier1_exact
UNIBEN-ZONE_A-20260819-0008,urn:uuid:2dfa0cff-69e8-5821-bf24-e28206a8bc39,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0471.JPG,2026-08-19,15:51:07,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,24.5042,68.1,34.83,65.0,1000.22,33108.33,56.0,clean|tier1_exact
UNIBEN-ZONE_A-20260819-0009,urn:uuid:d05d4fde-fcc1-56be-abbd-bc3fe3ecced8,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0472.JPG,2026-08-19,15:51:15,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,33.3703,79.2,34.9,66.0,1000.25,20983.33,56.0,clean|tier1_exact
UNIBEN-ZONE_A-20260819-0010,urn:uuid:7b52f875-5133-56a1-bac6-8605f78f353c,UNIBEN Ugbowo Campus Biodiversity & Microclimate Dataset 2026,HumanObservation,IMG_0473.JPG,2026-08-19,15:51:21,Ground-level field photography with concurrent ESP32 8-parameter telemetry,ZONE_A — Dense Canopy / Forested Sector,Tropical humid forested sector — closed canopy with emergent trees,6.399,5.611,WGS84,5,Plantae,Tracheophyta,Magnoliopsida,Unknown,Unknown,Unknown,sp.,Unknown sp.,Unknown plant,Species,Unresolved,Unknown,NE,PlantNet-v2 / MobileNetV3-UNIBEN-ft,0.0,0.0,73.965,100.0,34.92,66.0,1000.22,20045.0,63.0,clean|tier1_exact
